gene,condition,Log2FC,Mean,FDR,Pval,MeanDiff,AUC,MeanBGD
THAP11,CTRL,0.754610882209616,0.643065988797741,0.0416834782835124,0.00647799713002634,0.262734632358972,0.530023709295011,0.380331356438769
DPEP3,CTRL,2.55220490807622,0.130196771015513,0.0046613673645583,0.000346674368512234,0.10966464278697,0.518088417928743,0.0205321282285432
SLC7A6,CTRL,0.968167168104034,0.267740981825377,0.0070676405611499,0.000595869994793563,0.131865447752757,0.537979226141514,0.135875534072621
CLEC18A,CTRL,2.30524328696021,0.0585923097244665,0.0115801838575168,0.00115034629173603,0.0483392908951018,0.518179142271899,0.0102530188293646
LOC100506083,CTRL,0.731038147610553,0.280777058486784,0.0181267795655315,0.00206794964422158,0.112415492929842,0.536136513927195,0.168361565556942
DHODH,CTRL,0.606523749851557,0.344389454634489,0.0305752168450106,0.00427119252848213,0.11889146798534,0.533172852050773,0.225497986649149
NPIPB15,CTRL,0.930416230688374,0.2301506181822,0.0132179383238374,0.00135735635530398,0.110343395954541,0.53554378155191,0.119807222227659
LDHD,CTRL,1.01899850239089,0.307865351463624,0.0098259182843397,0.000921700826381061,0.156963640163837,0.531487395364591,0.150901711299788
CTRB2,CTRL,0.926261458404798,0.205919544559418,0.0413165244241767,0.00639126627611172,0.0985118852258186,0.523390751762068,0.107407659333599
LINC01227,CTRL,-1.14306079942859,0.0852510299364446,0.0114916939461204,0.00113784204015275,-0.105451770640704,0.47208915985226,0.190702800577149
SDR42E1,CTRL,1.60989148383933,0.133843328172957,0.0428103431062112,0.00671019355466185,0.0913433310260212,0.520463379622909,0.0424999971469357
LOC102724163,CTRL,0.646579560084146,0.316269194142685,0.0309476090133533,0.00435860265299916,0.114963957664422,0.534531701101595,0.201305236478263
ADAD2,CTRL,1.35895935758729,0.34101210415536,0.000665562045145306,2.88229180090397e-05,0.209289138290888,0.540632409154691,0.131722965864472
WFDC1,CTRL,0.750252197850263,0.232210929460893,0.0150741579582614,0.00161495786157022,0.0949758770372098,0.539065902162868,0.137235052423683
ATP2C2,CTRL,0.895482501095129,0.285857352141832,0.00835994794352856,0.000737245146672168,0.133118344192389,0.542535604264447,0.152739007949444
MEAK7,CTRL,0.79232032787087,0.556088347498142,8.13162815490906e-05,2.23378328566622e-06,0.235843341559118,0.569968629538233,0.320245005939023
FAM92B,CTRL,0.780089660371692,0.264574223933674,0.0456514419053727,0.00737497439523251,0.111343250533828,0.528128578571313,0.153230973399846
LINC00311,CTRL,0.746992396979674,0.788409564863778,0.0206045148291139,0.00247547172585379,0.319451676516528,0.548827841486428,0.468957888347249
LINC01081,CTRL,1.32033399544411,0.156917657293215,0.00604746915536288,0.000482497842039335,0.0952851331397726,0.533761552233028,0.0616325241534421
LINC00917,CTRL,0.670706651668951,0.445903492738883,0.00348238745583991,0.000239296318267096,0.166533992491656,0.555688617925517,0.279369500247227
FENDRR,CTRL,0.995539405463583,0.479208688527585,2.78140759042347e-05,6.24732415074512e-07,0.239863284486422,0.572313349784681,0.239345404041163
FOXF1,CTRL,0.759838742876011,0.529212601132784,0.0332861741250803,0.00480343384905174,0.217501734575133,0.532027709230496,0.311710866557651
MTHFSD,CTRL,0.873137672366861,0.185411631110246,0.0187691829617674,0.00216951007760884,0.0850963666649525,0.529398719375494,0.100315264445294
FLJ30679,CTRL,1.03705208831945,0.299644501800367,0.0200191063131592,0.0023841126852708,0.154650551298776,0.522749633070434,0.14499395050159
LINC02188,CTRL,0.881967810639192,0.207736893342881,0.0286389328827465,0.00389773632067435,0.0959317092409036,0.532781729326946,0.111805184101978
LINC02189,CTRL,1.17490743460471,0.40246171059104,7.4506865788616e-06,1.32134257417801e-07,0.225325168633616,0.56729931775294,0.177136541957424
LINC02181,CTRL,1.1022479463634,0.532903626052395,1.22655039592589e-06,1.63018130508046e-08,0.285755073722468,0.584633715585232,0.247148552329926
LOC101928708,CTRL,0.791222095214506,0.279423707069635,3.3775333685437e-05,7.79094915342351e-07,0.118805173547687,0.565990871114982,0.160618533521949
LOC101928682,CTRL,1.44072022118203,0.189859378964374,0.0032765875824848,0.000220654096307755,0.121186650606465,0.536644570248867,0.0686727283579096
LOC101928737,CTRL,0.799082637059589,0.53082516313554,0.000650395441786291,2.79821905753575e-05,0.226606229929302,0.565273140755794,0.304218933206238
BANP,CTRL,0.669503985511578,0.62501391656343,7.49795346892822e-05,2.03547900586562e-06,0.232798945954581,0.57507741810616,0.392214970608849
GALNS,CTRL,0.911400811979607,0.408905592682424,0.00104632508312225,5.00886815666103e-05,0.192443750370581,0.552438670344027,0.216461842311843
TRAPPC2L,CTRL,1.17133449704683,0.45083331857865,0.00507092138339025,0.000384795812150202,0.251775063491898,0.536199012919147,0.199058255086752
PABPN1L,CTRL,2.60047087589449,0.098475924726703,0.0303805444977933,0.00423128474418094,0.0839156933949635,0.512082466411832,0.0145602313317395
ACSF3,CTRL,0.636607683875741,0.29004816129007,0.00317532916312113,0.000212369443498782,0.104198748071753,0.552716891663038,0.185849413218317
SLC22A31,CTRL,0.71584236138832,0.41997770798385,0.0496868000287159,0.00837814912013655,0.165059919433685,0.527084240576765,0.254917788550166
ANKRD11,CTRL,0.623981249672767,1.60665451244265,2.64410782968205e-09,1.52745988383507e-11,0.564837104828659,0.6212782858341,1.04181740761399
DPEP1,CTRL,0.993479769879305,0.331817191518652,0.0023486643771237,0.000145356460602468,0.166156546535072,0.545356123288334,0.16566064498358
VPS9D1-AS1,CTRL,0.971467959776855,0.46728898852937,0.00303198115862616,0.000200874569772437,0.229961696877753,0.539705004757988,0.237327291651618
VPS9D1,CTRL,0.88105131206739,0.649423619601398,0.00115853784258973,5.7332506147387e-05,0.297722755046097,0.554374122998016,0.351700864555301
ZNF276,CTRL,0.830084592262911,0.479066276015941,0.0043897261648879,0.000319994383376307,0.210471809285135,0.545995225883454,0.268594466730806
MIR195,CTRL,0.894051135234814,0.617301186702556,0.00556478771987665,0.000432746883766767,0.286058315389431,0.534624441541265,0.331242871313125
BCL6B,CTRL,0.966019743375965,0.430883597095658,0.00360011766389163,0.000248258901683082,0.211287285513563,0.538192932372059,0.219596311582095
SLC16A13,CTRL,-0.694180397727534,0.269367539691851,0.0204247292272989,0.00244974634708937,-0.167700604680806,0.470194029128562,0.437068144372657
